exit_time,entry_time,exit_price,entry_price,wind_forecast_provider1,wind_forecast_provider2,solar_forecast_provider1,solar_forecast_provider2,solar_forecast_provider3,load_forecast_provider1,load_forecast_provider2,load_forecast_provider3
2059-01-01 00:00:00+01:00,2058-12-31 11:50:00+01:00,214.5568277793378,54.119715407052404,34906.94610930001,34314.61308843053,0.0,,0.0,45600.05031829784,52964.83897712825,47302.03697265749
2059-01-01 01:00:00+01:00,2058-12-31 11:50:00+01:00,63.92893614591119,46.10737162395095,34833.21005531683,34037.160445226575,0.0,,0.0,45393.393452179145,50604.03555451453,46662.935888860884
2059-01-01 02:00:00+01:00,2058-12-31 11:50:00+01:00,45.21893402953389,42.08586441467467,29250.50346335744,28742.41088510468,0.0,,0.0,38447.90075310075,43834.60439342224,39111.12801485075
2059-01-01 03:00:00+01:00,2058-12-31 11:50:00+01:00,-1.2847927302774877,41.64468985270203,26111.522841816,26230.10618319853,0.0,,0.0,35111.25544818221,41016.24292424125,35410.8114002683
2059-01-01 04:00:00+01:00,2058-12-31 11:50:00+01:00,-23.528738994070014,40.77412756327165,28896.376333763776,29983.594225384993,0.0,,0.0,41382.43814704013,49134.86059085913,41087.91624340418
2059-01-01 05:00:00+01:00,2058-12-31 11:50:00+01:00,131.01475934600785,30.172934874691528,19049.42022501227,20204.615117275942,0.0,,0.0,28852.77397098021,33193.71576973411,29040.043773325902
2059-01-01 06:00:00+01:00,2058-12-31 11:50:00+01:00,-23.027246672451398,41.03055058976305,23750.765188948637,25480.790404461935,0.0,,0.0,38392.22250305988,43738.3113404013,36936.39104310973
2059-01-01 07:00:00+01:00,2058-12-31 11:50:00+01:00,-32.338422366509896,40.02747214807491,20261.710242684796,21810.199960671147,0.0,,0.0,35583.367924145095,43505.64282511719,35206.96534278039
2059-01-01 08:00:00+01:00,2058-12-31 11:50:00+01:00,-23.02282502534287,48.8438957923113,19835.087082071,21287.164955585096,231.13804895676915,215.4009903043934,239.98743964177464,38511.53322086084,49932.59281974641,39352.87571906348
2059-01-01 09:00:00+01:00,2058-12-31 11:50:00+01:00,-93.90185459342412,78.51306892181141,20679.03100081971,22014.134658581916,1806.7532776867952,1596.0401162692285,1785.5312119694502,45904.08637775458,60309.60118519869,49075.543620026634
2059-01-01 10:00:00+01:00,2058-12-31 11:50:00+01:00,-58.349136963636504,78.165296828255,17301.922552913977,18105.68506145635,3950.5080998887565,3444.606908019467,4121.892053255446,44145.73197219157,56300.84532853576,46023.67384116471
2059-01-01 11:00:00+01:00,2058-12-31 11:50:00+01:00,-40.82873180436445,94.51407499991879,17693.574278224987,18266.7638564704,6484.497178948055,4850.448843039828,7623.235008458521,51345.52982873115,63519.90595571939,53249.7468166011
2059-01-01 12:00:00+01:00,2058-12-31 11:50:00+01:00,-2.089209198751704,86.43304781211197,13136.016876954762,13800.09247130786,6006.704526017998,4253.228508550412,7447.633478874689,42674.606760178904,51187.72795685291,43966.63211706631
2059-01-01 13:00:00+01:00,2058-12-31 11:50:00+01:00,-24.763408470586672,98.18136145618637,13203.263148304814,14596.253659146423,6177.92017179371,5438.517150083381,7480.828930533216,46742.64506930112,55097.32912171259,48043.1424004904
2059-01-01 14:00:00+01:00,2058-12-31 11:50:00+01:00,53.58694138115304,102.89582242874499,12902.74644786097,14964.751353982589,4347.949438020242,4329.947698992882,4815.31323396315,48216.069596048634,56206.70522274499,50664.0943186047
2059-01-01 15:00:00+01:00,2058-12-31 11:50:00+01:00,34.337817807619615,104.4064001977747,12671.939176479418,14512.572545813247,1699.4467517340754,2075.723283139917,1590.0203160812468,47300.234196530466,53734.228547400024,48812.67978196972
2059-01-01 16:00:00+01:00,2058-12-31 11:50:00+01:00,30.649784359637213,112.51214787763888,11935.530379120777,12487.986523374211,222.18038680418422,74.6526099662059,184.00690800619694,42092.51864082631,46668.78772368655,43951.812989758444
2059-01-01 17:00:00+01:00,2058-12-31 11:50:00+01:00,79.01800505370856,151.04620760824258,15390.910582206154,14222.518949686524,0.0,,0.0,51262.24463983945,56190.28568049867,52844.41765798834
